id,aircraft_type,aircraft_model,total_casualties,passenger_casualties,crew_casualties,nonFlying_casualties,date,total_flying_casualties,year,month,decade,airline_1,airline_2,airline_3,phase,location_country,airport,distance_km,aircract_model
178,McDonnell,Douglas,108,103,5,0,1978-12-23,108,1978,12,70s,Alitalia Flight,NA,NA,APR,Italy,PMO,3,Douglas
179,Tupolev,Tu,108,100,8,0,1973-09-30,108,1973,9,70s,Aeroflot Flight,NA,NA,ICL,USSR,SVX,10,Tu
180,Vickers,952,108,104,4,0,1973-04-10,108,1973,4,70s,Invicta International Airlines Flight,NA,NA,APR,Switzerland,BSL,15,952
181,Boeing,727,108,100,8,0,1973-02-21,108,1973,2,70s,Libyan Arab Airlines Flight,NA,NA,ENR,Israel,,NA,727
182,Boeing,727,107,101,6,0,1989-11-27,107,1989,11,80s,Avianca Flight,NA,NA,ENR,Colombia,,NA,727
183,Boeing,707,107,96,11,0,1974-04-22,107,1974,4,70s,Pan Am Flight,NA,NA,APR,Indonesia,DPS,68,707
184,Ilyushin,Il,107,99,8,0,1967-11-16,107,1967,11,60s,Aeroflot Flight,NA,NA,ICL,USSR,SVX,2.9,Il
185,Lockheed,L,107,96,11,0,1962-03-16,107,1962,3,60s,Flying Tiger Line Flight,NA,NA,ENR,Pacific Ocean,,NA,L
186,Lockheed,C,106,84,10,12,2005-12-06,94,2005,12,2000-2010,Iranian Air Force,NA,NA,APR,Iran,THR,NA,C
187,Sud,Aviation,106,99,7,0,1973-12-22,106,1973,12,70s,Royal Air Maroc Caravelle,NA,NA,ENR,Morocco,,NA,Aviation
188,Boeing,737,104,96,8,0,2005-02-03,104,2005,2,2000-2010,Kam Air Flight,NA,NA,ENR,Afghanistan,,NA,737
189,McDonnell,Douglas,104,99,5,0,1998-02-02,104,1998,2,90s,Cebu Pacific Air Flight,NA,NA,ENR,Philippines,,NA,Douglas
190,Boeing,737,104,97,7,0,1997-12-19,104,1997,12,90s,SilkAir Flight,NA,NA,ENR,Indonesia,,NA,737
191,Sud,Aviation,104,98,6,0,1972-01-07,104,1972,1,70s,Iberia Airlines Flight,NA,NA,APR,Spain,IBZ,NA,Aviation
192,Vickers,Viscount,104,11,6,87,1963-02-01,17,1963,2,60s,Middle East Airlines Flight,Turkish Air Force,NA,APR/ENR,Turkey,ESB,NA,Viscount
193,Airbus,A330,103,92,11,0,2010-05-12,103,2010,5,2000-2010,Afriqiyah Airways Flight,NA,NA,APR,Libya,TIP,NA,A330
194,Lockheed,C,103,96,7,0,1986-11-02,103,1986,11,80s,Iranian Air Force,NA,NA,APR,Iran,,NA,C
195,Boeing,737,102,96,6,0,2007-01-01,102,2007,1,2000-2010,Adam Air Flight,NA,NA,ENR,Indonesia,,NA,737
196,Boeing,737,102,96,6,0,2003-03-06,102,2003,3,2000-2010,Air Algérie Flight,NA,NA,ICL,Algeria,TMR,1.6,737
197,McDonnell,Douglas,102,97,5,0,1970-02-15,102,1970,2,60s,Dominicana de Aviación,NA,NA,ICL,Dominican Republic,SDQ,3,Douglas
198,Airbus,A310,101,90,11,0,1998-12-11,101,1998,12,90s,Thai Airways Flight,NA,NA,APR,Thailand,URT,NA,A310
199,Lockheed,L,101,94,7,0,1972-12-29,101,1972,12,70s,Eastern Air Lines Flight,NA,NA,APR,US,MIA,33.6,L
200,Ilyushin,Il,101,92,9,0,1972-08-31,101,1972,8,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
201,Lockheed,L,101,92,7,2,1970-08-09,99,1970,8,60s,LANSA Flight,NA,NA,ICL,Peru,CUZ,NA,L
202,Douglas,DC,101,95,6,0,1963-06-03,101,1963,6,60s,Northwest Airlines Flight,NA,NA,ENR,US,,NA,DC
203,Boeing,737,100,93,7,0,1977-12-04,100,1977,12,70s,Malaysian Airline System Flight,NA,NA,ENR,Malaysia,,NA,737
204,Ilyushin,Il,100,93,7,0,1969-03-20,100,1969,3,60s,United Arab Airlines,NA,NA,LDG,Egypt,ASW,NA,Il
205,Lockheed,C,NA,NA,NA,2,2009-05-20,NA,2009,5,2000-2010,Indonesian Air Force,NA,NA,APR,Indonesia,MDN,9,C
206,Fokker,100,99,90,6,3,1996-10-31,96,1996,10,90s,TAM Airlines Flight,NA,NA,ICL,Brazil,CGH,1.5,100
207,Tupolev,Tu,99,95,4,0,1981-11-16,99,1981,11,80s,Aeroflot Flight,NA,NA,APR,USSR,NSK,0.47,Tu
208,Lockheed,L,99,91,8,0,1958-08-14,99,1958,8,50s,KLM Flight,NA,NA,ENR,Ireland,,NA,L
209,Tupolev,Tu,98,90,8,0,1995-12-06,98,1995,12,90s,Khabarovsk United Air Flight,NA,NA,ENR,Russia,,NA,Tu
210,Lockheed,C,98,92,6,0,1991-03-21,98,1991,3,90s,Royal Saudi Air Force,NA,NA,APR,Saudi Arabia,OERM,NA,C
211,Antonov,An,98,92,6,0,1968-02-07,98,1968,2,60s,Indian Air Force Flight,NA,NA,ENR,India,,NA,An
212,Bristol,175,98,92,6,0,1966-09-01,98,1966,9,60s,Britannia Airways Flight,NA,NA,APR,Yugoslavia,LJU,3,175
213,Boeing,707,97,87,10,0,1974-01-30,97,1974,1,70s,Pan Am Flight,NA,NA,APR,American Samoa,PPG,1.2,707
214,Tupolev,Tu,97,93,4,0,1971-07-25,97,1971,7,70s,Aeroflot Flight,NA,NA,APR,USSR,IKT,0.15,Tu
215,Boeing,707,97,80,17,0,1962-11-27,97,1962,11,60s,Varig Flight,NA,NA,APR,Peru,LIM,NA,707
216,Tupolev,Tu,96,88,8,0,2010-04-10,96,2010,4,2000-2010,Polish Air Force,NA,NA,APR,Russia,***,NA,Tu
217,Boeing,737,96,92,4,0,2006-10-29,96,2006,10,2000-2010,ADC Airlines Flight,NA,NA,ICL,Nigeria,ABV,NA,737
218,Tupolev,Tu,96,90,6,0,1977-01-13,96,1977,1,70s,Aeroflot Flight,NA,NA,APR,USSR,ALA,3.5,Tu
219,Sud,Aviation,95,89,6,0,1976-10-12,95,1976,10,70s,Indian Airlines Flight,NA,NA,APR,India,BOM,0.35,Aviation
220,Sud,Aviation,95,89,6,0,1968-09-11,95,1968,9,60s,Air France Flight,NA,NA,ENR,France,,NA,Aviation
221,Boeing,707,95,87,8,0,1962-03-01,95,1962,3,60s,American Airlines Flight,NA,NA,ICL,US,IDL,NA,707
222,Boeing,727,94,87,7,0,2002-01-28,94,2002,1,2000-2010,TAME Flight,NA,NA,APR,Colombia,TUA,NA,727
223,Tupolev,Tu,94,82,12,0,1985-05-03,94,1985,5,80s,Aeroflot Flight,Soviet Air Force,NA,APR/ENR,USSR,LWO,68,Tu
224,McDonnell,Douglas,94,85,9,0,1962-07-07,94,1962,7,60s,Alitalia Flight,NA,NA,ENR,India,,NA,Douglas
225,Sud,Aviation,93,87,6,0,1986-01-18,93,1986,1,80s,Aerovias Guatemala Caravelle,NA,NA,APR,Guatemala,FRS,8,Aviation
226,Boeing,727,93,87,6,0,1983-12-07,93,1983,12,80s,Iberia Flight,Aviaco Flight,NA,TOF/TXI,Spain,MAD,NA,727
227,Tupolev,Tu,92,84,8,0,2016-12-25,92,2016,12,2010-2020,Russian Air Force,NA,NA,ENR,Russia,,NA,Tu
228,Airbus,A320,92,88,4,0,1990-02-14,92,1990,2,80s,Indian Airlines Flight,NA,NA,APR,India,VOBG,0.7,A320
229,Boeing,727,92,85,7,0,1974-12-01,92,1974,12,70s,TWA Flight,NA,NA,APR,US,DCA,40,727
230,Ilyushin,Il,92,85,7,0,1970-02-06,92,1970,2,60s,Aeroflot Flight U-,NA,NA,ENR,USSR,,NA,Il
231,Lockheed,C,91,86,5,0,1996-02-26,91,1996,2,90s,Sudanese Air Force,NA,NA,ENR,Sudan,,NA,C
232,Boeing,707,91,0,3,88,1976-10-13,3,1976,10,70s,Lloyd Aéreo Boliviano,NA,NA,ICL,Bolivia,SRZ,0.6,707
233,Lockheed,L,91,85,6,0,1971-12-24,91,1971,12,70s,LANSA Flight,NA,NA,ENR,Peru,,NA,L
234,Boeing,737,90,82,8,0,2010-01-25,90,2010,1,2000-2010,Ethiopian Airlines Flight,NA,NA,ICL,Lebanon,BEY,11,737
235,McDonnell,Douglas,90,85,5,0,2007-09-16,90,2007,9,2000-2010,One-Two-GO Airlines Flight,NA,NA,LDG,Thailand,HKT,NA,Douglas
236,Tupolev,Tu,90,83,7,0,1983-08-30,90,1983,8,80s,Aeroflot Flight,NA,NA,APR,USSR,ALA,36,Tu
237,Ilyushin,Il,90,82,8,0,1982-07-06,90,1982,7,80s,Aeroflot Flight,NA,NA,ICL,USSR,SVO,11.4,Il
238,Douglas,DC,90,85,5,0,1969-12-08,90,1969,12,60s,Olympic Airways Flight,NA,NA,APR,Greece,***,NA,DC
239,Lockheed,C,89,81,8,0,1980-09-14,89,1980,9,70s,Royal Saudi Air Force,NA,NA,ICL,Saudi Arabia,MED,NA,C
240,McDonnell,Douglas,89,83,6,0,1973-07-31,89,1973,7,70s,Delta Air Lines Flight,NA,NA,APR,US,BOS,1,Douglas
241,Boeing,737,88,82,6,0,2008-09-14,88,2008,9,2000-2010,Aeroflot-Nord Flight,NA,NA,APR,Russia,PEE,11.5,737
242,McDonnell,Douglas,88,83,5,0,2000-01-31,88,2000,1,90s,Alaska Airlines Flight,NA,NA,ENR,US,,NA,Douglas
243,Lockheed,C,88,80,8,0,1997-03-13,88,1997,3,90s,Iranian Air Force,NA,NA,ENR,Iran,,NA,C
244,Boeing,707,88,79,9,0,1974-09-08,88,1974,9,70s,Trans World Airlines Flight,NA,NA,ENR,Greece,,NA,707
245,Douglas,C,88,83,5,0,1967-06-03,88,1967,6,60s,Air Ferry DC-,NA,NA,ENR,France,,NA,C
246,Airbus,A320,87,82,5,0,1992-01-20,87,1992,1,90s,Air Inter Flight,NA,NA,APR,France,SXB,19.5,A320
247,Ilyushin,Il,87,77,10,0,1980-03-14,87,1980,3,70s,LOT Polish Airlines Flight,NA,NA,APR,Poland,WAW,0.86,Il
248,Vickers,VC10,87,76,11,0,1969-11-20,87,1969,11,60s,Nigeria Airways Flight,NA,NA,APR,Nigeria,LOS,13,VC10
249,Douglas,DC,87,80,7,0,1965-02-06,87,1965,2,60s,LAN Chile Flight,NA,NA,ENR,Chile,,NA,DC
250,Ilyushin,Il,87,78,9,0,1964-09-02,87,1964,9,60s,Aeroflot Flight,NA,NA,APR,USSR,UUS,26,Il
251,Douglas,C,87,82,5,0,1952-12-20,87,1952,12,50s,US Air Force,NA,NA,ICL,US,LRN,4,C
252,Sud,Aviation,86,79,6,1,1973-08-13,85,1973,8,70s,Aviaco Flight,NA,NA,APR,Spain,LCG,11,Aviation
253,Douglas,DC,86,72,10,4,1972-06-14,82,1972,6,70s,Japan Airlines Flight,NA,NA,APR,India,DEL,NA,DC
254,Tupolev,Tu,86,79,7,0,1962-09-03,86,1962,9,60s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
255,Tupolev,Tu,85,79,6,0,1997-12-15,85,1997,12,90s,Tajikistan Airlines Flight,NA,NA,APR,United Arab Emirates,SHJ,13,Tu
256,Lockheed,L,85,80,5,0,1968-05-03,85,1968,5,60s,Braniff Flight,NA,NA,ENR,US,,NA,L
257,Fairchild,C,85,81,4,0,1965-12-11,85,1965,12,60s,US Air Force,NA,NA,ENR,Vietnam,,NA,C
258,Lockheed,L,85,81,4,0,1964-03-01,85,1964,3,60s,Paradise Airlines Flight,NA,NA,ENR,US,,NA,L
259,Tupolev,Tu,84,77,7,0,1992-08-27,84,1992,8,90s,Aeroflot Flight,NA,NA,APR,Russia,IWA,3,Tu
260,Mil,Mi,84,84,0,0,1982-12-09,84,1982,12,80s,Fuerza Aérea Sandinista,inista,NA,UNK,Nicaragua,,NA,Mi
261,Boeing,C,84,72,12,0,1965-06-25,84,1965,6,60s,US Air Force,NA,NA,ENR,US,,NA,C
262,Douglas,DC,84,79,5,0,1965-02-08,84,1965,2,60s,Eastern Air Lines Flight,NA,NA,ENR,US,,NA,DC
263,Tupolev,Tu,84,76,8,0,1962-06-30,84,1962,6,60s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
264,Boeing,747,83,79,4,0,2000-10-31,83,2000,10,90s,Singapore Airlines Flight,NA,NA,TOF,Taiwan,TPE,NA,747
265,Ilyushin,Il,83,72,11,0,2000-10-25,83,2000,10,90s,Russian Air Force,NA,NA,APR,Georgia,BUS,18,Il
266,Fokker,100,83,79,4,0,1993-03-05,83,1993,3,90s,Palair Macedonian Airlines Flight,NA,NA,ICL,Macedonia,SKP,0.38,100
267,Antonov,An,83,78,5,0,1990-08-10,83,1990,8,80s,Afghanistan Air Force,NA,NA,ICL,Afghanistan,OAH,NA,An
268,Boeing,737,83,74,9,0,1987-08-31,83,1987,8,80s,Thai Airways Flight,NA,NA,APR,Thailand,HKT,15,737
269,McDonnell,Douglas,83,78,5,0,1969-09-09,83,1969,9,60s,Allegheny Airlines Flight,Private aircraft,NA,ENR,US,,NA,Douglas
270,Ilyushin,Il,83,74,9,0,1968-02-29,83,1968,2,60s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
271,Lockheed,L,83,78,5,0,1966-04-22,83,1966,4,60s,American Flyers Flight,NA,NA,APR,US,ADM,2.4,L
272,Bristol,175,83,75,8,0,1964-02-29,83,1964,2,60s,British Eagle International Airlines Flight,NA,NA,ENR,Austria,,NA,175
273,Douglas,DC,83,77,6,0,1961-09-10,83,1961,9,60s,President Airlines,NA,NA,ICL,Ireland,SNN,1.5,DC
274,Yakovlev,Yak,82,77,5,0,1993-08-28,82,1993,8,90s,Tajikistan Airlines,NA,NA,TOF,Tajikistan,UTOD,0.2,Yak
275,McDonnell,Douglas,82,60,7,15,1986-08-31,67,1986,8,80s,Aeroméxico Flight,Private aircraft,NA,APR,US,LAX,NA,Douglas
276,Tupolev,Tu,82,74,8,0,1973-05-19,82,1973,5,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
277,Boeing,727,82,76,6,0,1967-07-19,82,1967,7,60s,Piedmont Airlines Flight,Private aircraft,NA,ENR,US,,NA,727
278,Ilyushin,Il,82,74,8,0,1966-11-24,82,1966,11,60s,TABSO Flight,NA,NA,ENR,Czechoslovakia,,NA,Il
279,McDonnell,Douglas,81,77,4,0,1980-06-27,81,1980,6,70s,Itavia Flight,NA,NA,ENR,Italy,,NA,Douglas
280,Boeing,720,81,66,15,0,1976-01-01,81,1976,1,70s,Middle East Airlines Flight,NA,NA,ENR,Saudi Arabia,,NA,720
281,Convair,880,81,71,10,0,1972-06-15,81,1972,6,70s,Cathay Pacific Airways Flight,NA,NA,ENR,Vietnam,,NA,880
282,Boeing,707,81,73,8,0,1963-12-08,81,1963,12,60s,Pan Am Flight,NA,NA,APR,US,PHL,55,707
283,Antonov,An,81,74,7,0,1962-07-28,81,1962,7,60s,Aeroflot Flight,NA,NA,APR,USSR,AER,21,An
284,Lockheed,C,80,71,9,0,2011-07-26,80,2011,7,2010-2020,Moroccan Air Force,NA,NA,APR,Morocco,GLN,10,C
285,Tupolev,Tu,80,56,14,10,1998-08-29,70,1998,8,90s,Cubana de Aviación Flight,NA,NA,TOF,Ecuador,UIO,NA,Tu
286,Fokker,F28,80,76,4,0,1994-07-01,80,1994,7,90s,Air Mauritanie Flight,NA,NA,LDG,Mauritania,TIY,NA,F28
287,Douglas,DC,80,76,4,0,1985-07-24,80,1985,7,80s,Fuerza Aérea Colombiana,NA,NA,ENR,Colombia,,NA,DC
288,Lockheed,C,NA,NA,NA,20,1981-09-29,NA,1981,9,80s,Iranian Air Force,NA,NA,ENR,Iran,,NA,C
289,Douglas,DC,80,73,7,0,1964-10-02,80,1964,10,60s,Union de Transportes Aériens,NA,NA,ENR,Spain,,NA,DC
290,Boeing,C,80,74,5,1,1964-05-11,79,1964,5,60s,US Air Force,NA,NA,APR,Philippines,CRK,0.1,C
291,Sud,Aviation,80,74,6,0,1963-09-04,80,1963,9,60s,Swissair Flight,NA,NA,ENR,Switzerland,,NA,Aviation
292,Douglas,DC,80,73,7,0,1960-09-19,80,1960,9,50s,World Airways Flight,NA,NA,ENR,US,,NA,DC
293,Tupolev,Tu,80,71,9,0,1958-10-17,80,1958,10,50s,Aeroflot,NA,NA,ENR,USSR,,NA,Tu
294,Avro,689,80,75,5,0,1950-03-12,80,1950,3,40s,Fairflight,NA,NA,APR,UK,***,0.76,689
295,McDonnell,Douglas,79,72,3,4,1989-07-27,75,1989,7,80s,Korean Air Flight,NA,NA,APR,Libya,TIP,NA,Douglas
296,Ilyushin,Il,79,72,7,0,1973-02-24,79,1973,2,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
297,Fairchild,C,79,73,6,0,1970-11-27,79,1970,11,60s,US Air Force,NA,NA,ENR,Vietnam,,NA,C
298,Boeing,727,79,72,7,0,1969-06-04,79,1969,6,60s,Mexicana Flight,NA,NA,ENR,Mexico,,NA,727
299,Douglas,DC,79,73,6,0,1957-08-11,79,1957,8,50s,Maritime Central Airways Flight,NA,NA,ENR,Canada,,NA,DC
300,Tupolev,Tu,78,66,12,0,2001-10-04,78,2001,10,2000-2010,Siberia Airlines Flight,NA,NA,ENR,Turkey,,NA,Tu
301,Boeing,737,78,70,4,4,1982-01-13,74,1982,1,80s,Air Florida Flight,NA,NA,ICL,US,DCA,1.4,737
302,Antonov,An,78,70,7,1,1978-11-19,77,1978,11,70s,Indian Air Force,NA,NA,APR,India,IXL,0.5,An
303,Douglas,DC,78,75,3,0,1974-04-04,78,1974,4,70s,Wenela Air Services,NA,NA,APR,Botswana,FRW,3.6,DC
304,Boeing,707,78,68,10,0,1973-07-22,78,1973,7,70s,Pan Am Flight,NA,NA,ENR,French Polynesia,,NA,707
305,Tupolev,Tu,78,75,3,0,1971-05-23,78,1971,5,70s,Aviogenex Flight,NA,NA,LDG,Yugoslavia,RJK,NA,Tu
306,Lockheed,L,78,73,5,0,1961-09-01,78,1961,9,60s,TWA Flight,NA,NA,ENR,US,,NA,L
307,Lockheed,L,78,69,9,0,1961-05-10,78,1961,5,60s,Air France Flight,NA,NA,ENR,Algeria,,NA,L
308,Lockheed,C,76,72,4,0,2014-02-11,76,2014,2,2010-2020,Algerian Air Force C-,NA,NA,ENR,Algeria,,NA,C
309,Boeing,727,77,67,10,0,2011-01-09,77,2011,1,2010-2020,Iran Air Flight,NA,NA,APR,Iran,OMH,8,727
310,Sukhoi,Su,77,0,0,77,2002-07-27,0,2002,7,2000-2010,Sknyliv air show disaster,NA,NA,MNV,Ukraine,LWO,NA,Su
311,Ilyushin,IL,77,68,9,0,1988-12-11,77,1988,12,80s,Soviet Air Force,NA,NA,APR,Armenia,LWN,15,IL
312,Ilyushin,Il,77,70,7,0,1977-02-15,77,1977,2,70s,Aeroflot Flight,NA,NA,APR,USSR,MRV,5,Il
313,Lockheed,L,77,74,3,0,1961-11-08,77,1961,11,60s,Imperial Airlines Flight,NA,NA,APR,US,RIC,1.5,L
314,Sud,Aviation,77,71,6,0,1961-09-12,77,1961,9,60s,Air France Flight,NA,NA,APR,Morocco,RBA,9,Aviation
315,Antonov,An,76,71,5,0,1993-04-27,76,1993,4,90s,Afghanistan Air Force,NA,NA,ENR,Afghanistan,,NA,An
316,Ilyushin,Il,76,70,6,0,1976-07-28,76,1976,7,70s,ČSA Flight,NA,NA,APR,Czechoslovakia,BTS,1.5,Il
317,Douglas,C,76,69,5,2,1969-09-20,74,1969,9,60s,Air Vietnam C-,US Air Force,NA,APR,Vietnam,DAD,3,C
318,Yakovlev,Yak,75,62,13,0,2003-05-26,75,2003,5,2000-2010,UM Airlines Flight,NA,NA,APR,Turkey,TZX,NA,Yak
319,Avro,RJ100,75,70,5,0,2003-01-08,75,2003,1,2000-2010,Turkish Airlines Flight,NA,NA,APR,Turkey,DIY,0.9,RJ100
320,Boeing,737,75,69,6,0,1998-05-05,75,1998,5,90s,Peruvian Air Force,NA,NA,ENR,Peru,,NA,737
321,Antonov,An,75,70,5,0,1995-09-12,75,1995,9,90s,Sri Lanka Air Force,NA,NA,ENR,Sri Lanka,,NA,An
322,Airbus,A310,75,63,12,0,1994-03-23,75,1994,3,90s,Aeroflot Flight,NA,NA,ENR,Russia,,NA,A310
323,Tupolev,Tu,76,73,3,0,1988-09-09,76,1988,9,80s,Vietnam Airlines Flight,NA,NA,APR,Thailand,DMK,6,Tu
324,McDonnell,Douglas,75,71,4,0,1975-10-30,75,1975,10,70s,Inex-Adria Aviopromet Flight,NA,NA,APR,Czechoslovakia,PRG,8,Douglas
325,McDonnell,Douglas,75,69,6,0,1974-12-22,75,1974,12,70s,Avensa Flight,NA,NA,ENR,Venezuela,,NA,Douglas
326,Boeing,727,75,67,8,0,1974-09-15,75,1974,9,70s,Air Vietnam Flight,NA,NA,ICL,Vietnam,DAD,NA,727
327,McDonnell,Douglas,75,71,4,0,1970-11-14,75,1970,11,60s,Southern Airways Flight,NA,NA,APR,US,HTS,1.6,Douglas
328,Boeing,727,74,70,4,0,2011-07-08,74,2011,7,2010-2020,Hewa Bora Airways Flight,NA,NA,LDG,Congo,FKI,0.1,727
329,McDonnell,Douglas,74,69,5,0,1997-10-10,74,1997,10,90s,Austral Líneas Aéreas Flight,NA,NA,ENR,Uruguay,,NA,Douglas
330,Douglas,DC,74,69,5,0,1969-09-26,74,1969,9,60s,Lloyd Aéreo Boliviano,NA,NA,ENR,Bolivia,,NA,DC
331,Lockheed,L,74,64,10,0,1956-06-20,74,1956,6,50s,Linea Aeropostal Venezolana Flight,NA,NA,ENR,US,,NA,L
332,Sikorsky,S,73,67,6,0,1997-02-04,73,1997,2,90s,Israeli Air Force,Israeli Air Force,NA,ENR,Israel,,NA,S
333,Boeing,707,73,65,8,0,1990-01-25,73,1990,1,80s,Avianca Flight,NA,NA,APR,US,JFK,NA,707
334,Antonov,An,NA,NA,NA,0,1982-01-14,NA,1982,1,80s,Ethiopian Air Force,NA,NA,UNK,Ethiopia,,NA,An
335,McDonnell,Douglas,73,63,9,1,1979-10-31,72,1979,10,70s,Western Airlines Flight,NA,NA,LDG,Mexico,MEX,1.5,Douglas
336,Tupolev,Tu,73,66,7,0,1978-03-16,73,1978,3,70s,Balkan Bulgarian,NA,NA,ENR,Bulgaria,,NA,Tu
337,Douglas,DC,73,48,25,0,1976-10-06,73,1976,10,70s,Cubana de Aviación Flight,NA,NA,ENR,Barbados,,NA,DC
338,Boeing,707,73,61,11,1,1961-02-15,72,1961,2,60s,Sabena Flight,NA,NA,APR,Belgium,BRU,3,707
339,Akron,class,NA,NA,NA,0,1933-04-04,NA,1933,4,30s,USS Akron,NA,NA,,US,,NA,class
340,Antonov,An,72,15,8,49,1997-12-06,23,1997,12,90s,Russian Air Force,NA,NA,ICL,Russia,IKT,1.6,An
341,Tupolev,Tu,72,63,9,0,1986-12-12,72,1986,12,80s,Aeroflot Flight,NA,NA,APR,East Germany,SXF,3.5,Tu
342,McDonnell,Douglas,72,61,2,9,1977-04-04,63,1977,4,70s,Southern Airways Flight,NA,NA,ENR,US,,NA,Douglas
343,Tupolev,Tu,72,67,5,0,1976-11-28,72,1976,11,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
344,McDonnell,Douglas,72,70,2,0,1974-09-11,72,1974,9,70s,Eastern Air Lines Flight,NA,NA,APR,US,CLT,5.3,Douglas
345,Douglas,C,72,66,6,0,1967-12-08,72,1967,12,60s,Faucett,NA,NA,ENR,Peru,,NA,C
346,Canadair,C,72,69,3,0,1967-06-04,72,1967,6,60s,British Midland Airways Flight,Airways Flight,NA,APR,UK,MAN,NA,C
347,Ilyushin,Il,72,64,8,0,1961-07-12,72,1961,7,60s,ČSA Flight,NA,NA,ENR,Morocco,,NA,Il
348,Antonov,An,71,65,6,0,2018-02-11,71,2018,2,2010-2020,Saratov Airlines Flight,NA,NA,ICL,Russia,OSW,NA,An
349,Avro,RJ85,71,64,7,0,2016-11-28,71,2016,11,2010-2020,LaMia Airlines Flight,NA,NA,ENR,Colombia,,NA,RJ85
350,Tupolev,Tu,71,60,11,0,2002-07-01,71,2002,7,2000-2010,Bashkirian Airlines Flight,DHL Flight,NA,ENR,Germany,,NA,Tu
351,Boeing,737,71,68,3,0,1995-12-03,71,1995,12,90s,Cameroon Airlines Flight,NA,NA,APR,Cameroon,DLA,6,737
352,Boeing,707,71,43,9,19,1976-12-25,52,1976,12,70s,EgyptAir Flight,NA,NA,APR,Thailand,DMK,2,707
353,Yakovlev,Yak,70,62,8,0,1997-12-17,70,1997,12,90s,Aerosvit Flight,NA,NA,ENR,Greece,,NA,Yak
354,Boeing,757,70,61,9,0,1996-10-02,70,1996,10,90s,Aeroperú Flight,NA,NA,ENR,Peru,,NA,757
355,Vickers,Viscount,70,63,7,0,1992-07-24,70,1992,7,90s,Mandala Airlines Flight,ala Airlines Flight,NA,APR,Indonesia,AMQ,15,Viscount
356,Aermacchi,MB,70,0,3,67,1988-08-28,3,1988,8,80s,Ramstein air show disaster,NA,NA,MNV,West Germany,RMS,NA,MB
357,Tupolev,Tu,70,66,4,0,1986-10-20,70,1986,10,80s,Aeroflot Flight,NA,NA,LDG,USSR,KUF,NA,Tu
358,Lockheed,L,70,64,6,0,1985-01-21,70,1985,1,80s,Galaxy Airlines Flight,NA,NA,ICL,US,RNO,3,L
359,Sud,Aviation,70,63,7,0,1980-12-21,70,1980,12,70s,TAC Colombia HK-,NA,NA,ENR,Colombia,,NA,Aviation
360,Convair,CV,70,65,5,0,1967-11-20,70,1967,11,60s,TWA Flight,NA,NA,APR,US,CVG,2.9,CV
361,Boeing,737,69,63,6,0,1991-08-16,69,1991,8,90s,Indian Airlines Flight,NA,NA,APR,India,IMF,8,737
362,Ilyushin,Il,69,59,9,1,1977-05-27,68,1977,5,70s,Aeroflot Flight,NA,NA,APR,Cuba,HAV,1,Il
