id,aircraft_type,aircraft_model,total_casualties,passenger_casualties,crew_casualties,nonFlying_casualties,date,total_flying_casualties,year,month,decade,airline_1,airline_2,airline_3,phase,location_country,airport,distance_km,aircract_model
363,Vickers,Viscount,69,62,7,0,1971-11-10,69,1971,11,70s,Merpati Nusantara Airlines Viscount,NA,NA,ENR,Indonesia,,NA,Viscount
364,Douglas,C,69,60,9,0,1965-11-03,69,1965,11,60s,Fuerza Aérea Argentina,NA,NA,ENR,Central America,,NA,C
365,ATR,72,68,61,7,0,2010-11-04,68,2010,11,2000-2010,Aero Caribbean Flight,NA,NA,ENR,Cuba,,NA,72
366,ATR,72,68,64,4,0,1994-10-31,68,1994,10,90s,American Eagle Flight,NA,NA,APR,US,ORD,108,72
367,Boeing,737,68,66,2,0,1993-07-26,68,1993,7,90s,Asiana Airlines Flight,NA,NA,APR,South Korea,MPK,7,737
368,Lockheed,C,68,60,8,0,1976-09-03,68,1976,9,70s,Fuerza Aérea Venezolana,NA,NA,APR,Portugal,TER,1,C
369,McDonnell,Douglas,68,61,7,0,1973-03-05,68,1973,3,70s,Iberia Flight,Spantax Flight,NA,ENR,France,,NA,Douglas
370,NAMC,YS,68,64,4,0,1971-07-03,68,1971,7,70s,Toa Domestic Airlines Flight,NA,NA,ENR,Japan,,NA,YS
371,Lockheed,L,68,59,9,0,1959-06-26,68,1959,6,50s,TWA Flight,NA,NA,ENR,Italy,,NA,L
372,Convair,CV,67,63,4,0,1975-10-27,67,1975,10,70s,Transporte Aéreo Militar,NA,NA,ENR,Bolivia,,NA,CV
373,Ilyushin,Il,67,59,8,0,1963-04-04,67,1963,4,60s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
374,Douglas,DC,67,60,7,0,1961-07-19,67,1961,7,60s,Aerolíneas Argentinas Flight,NA,NA,ENR,Argentina,,NA,DC
375,Boeing,C,67,57,10,0,1957-03-22,67,1957,3,50s,US Air Force,NA,NA,ENR,Pacific Ocean,,NA,C
376,ATR,72,66,60,6,0,2018-02-18,66,2018,2,2010-2020,Iran Aseman Airlines Flight,NA,NA,ENR,Iran,,NA,72
377,Airbus,A320,66,56,10,0,2016-05-19,66,2016,5,2010-2020,EgyptAir Flight,NA,NA,ENR,Eastern Mediterranean Sea,,NA,A320
378,Fokker,F28,66,59,7,0,1994-10-12,66,1994,10,90s,Iran Aseman Airlines Flight,NA,NA,ENR,Iran,,NA,F28
379,Fokker,F28,66,62,4,0,1974-01-26,66,1974,1,70s,Turkish Airlines Flight,NA,NA,TOF,Turkey,ADB,NA,F28
380,Tupolev,Tu,66,62,4,0,1973-02-19,66,1973,2,70s,Aeroflot Flight,NA,NA,APR,Czechoslovakia,PRG,0.5,Tu
381,de,Havilland,66,59,7,0,1967-10-12,66,1967,10,60s,Cyprus Airways Flight,NA,NA,ENR,Turkey,,NA,Havilland
382,Douglas,DC,66,63,3,0,1955-10-06,66,1955,10,50s,United Airlines Flight,NA,NA,ENR,US,,NA,DC
383,Fairchild,C,66,55,11,0,1955-08-11,66,1955,8,50s,,NA,NA,MNV,West Germany,,NA,C
384,Douglas,R6D,66,57,9,0,1955-03-22,66,1955,3,50s,United States Navy,NA,NA,APR,US,HNL,24,R6D
385,Boeing,737,65,65,0,0,2008-08-24,65,2008,8,2000-2010,Iran Aseman Airlines/Itek Air Flight,NA,NA,APR,Kyrgyzstan,FRU,NA,737
386,Boeing,737,65,60,3,2,1999-08-31,63,1999,8,90s,LAPA Flight,NA,NA,TOF,Argentina,AEP,NA,737
387,Tupolev,Tu,65,59,6,0,1997-09-03,65,1997,9,90s,Vietnam Airlines Flight,NA,NA,APR,Cambodia,PNH,0.3,Tu
388,Boeing,737,65,58,7,0,1995-08-09,65,1995,8,90s,Aviateca Flight,NA,NA,APR,El Salvador,SAL,24,737
389,Antonov,An,65,57,8,0,1971-03-31,65,1971,3,70s,Aeroflot Flight,NA,NA,APR,USSR,VSG,13,An
390,Lockheed,L,65,63,2,0,1959-02-03,65,1959,2,50s,American Airlines Flight,NA,NA,APR,US,LGA,1.5,L
391,Antonov,An,64,55,9,0,1976-09-09,64,1976,9,70s,Aeroflot Flight,Aeroflot Flight,NA,ENR,USSR,,NA,An
392,Douglas,DC,64,54,10,0,1966-03-04,64,1966,3,60s,Canadian Pacific Airlines Flight,NA,NA,APR,Japan,HND,0.85,DC
393,Ilyushin,Il,64,61,3,0,1965-01-04,64,1965,1,60s,Aeroflot Flight,NA,NA,APR,USSR,ALA,0.2,Il
394,Tupolev,Tu,64,53,11,0,1958-08-15,64,1958,8,50s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
395,Lockheed,C,63,58,5,0,1991-02-05,63,1991,2,90s,Elleniki Polemikí Aeroporía,NA,NA,ENR,Greece,,NA,C
396,Boeing,737,63,60,3,0,1986-12-25,63,1986,12,80s,Iraqi Airways Flight,NA,NA,ENR,Saudi Arabia,,NA,737
397,Tupolev,Tu,63,58,5,0,1979-08-29,63,1979,8,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
398,Ilyushin,Il,63,55,8,0,1973-05-11,63,1973,5,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
399,Vickers,951,63,55,8,0,1971-10-02,63,1971,10,70s,British European Airways Flight,NA,NA,ENR,Belgium,,NA,951
400,Boeing,707,63,52,11,0,1968-03-05,63,1968,3,60s,Air France Flight,NA,NA,APR,Guadeloupe,PTP,27.5,707
401,de,Havilland,63,55,8,0,1963-07-27,63,1963,7,60s,United Arab Airlines Flight,NA,NA,APR,India,BOM,10,Havilland
402,Lockheed,L,63,55,8,0,1960-08-29,63,1960,8,50s,Air France Flight,NA,NA,APR,Senegal,DKR,1.6,L
403,Lockheed,L,63,57,6,0,1960-03-17,63,1960,3,50s,Northwest Orient Airlines Flight,NA,NA,ENR,US,,NA,L
404,Boeing,737,62,55,7,0,2016-03-19,62,2016,3,2010-2020,Flydubai Flight,NA,NA,LDG,Russia,ROV,NA,737
405,Antonov,An,62,56,6,0,1995-11-22,62,1995,11,90s,Sri Lanka Air Force,NA,NA,APR,Sri Lanka,JAF,13,An
406,Tupolev,Tu,62,56,5,1,1976-01-03,61,1976,1,70s,Aeroflot Flight,NA,NA,ICL,USSR,VKO,7,Tu
407,Boeing,707,62,51,11,0,1969-12-04,62,1969,12,60s,Air France Flight,NA,NA,ENR,Venezuela,,NA,707
408,Lockheed,L,62,59,3,0,1960-10-04,62,1960,10,50s,Eastern Air Lines Flight,NA,NA,ICL,US,BOS,NA,L
409,Canadair,North,62,59,3,0,1956-12-09,62,1956,12,50s,Trans-Canada Air Lines Flight,NA,NA,ENR,Canada,,NA,North
410,Tupolev,Tu,61,50,11,0,1999-02-24,61,1999,2,90s,China Southwest Airlines Flight,NA,NA,APR,China,WNZ,1,Tu
411,Mil,Mi,61,58,3,0,1992-12-14,61,1992,12,90s,Russian Air Force,NA,NA,UNK,Georgia,,NA,Mi
412,Fokker,F28,61,57,4,0,1979-07-11,61,1979,7,70s,Garuda Indonesia,NA,NA,ENR,Indonesia,,NA,F28
413,McDonnell,Douglas,61,52,9,0,1972-11-28,61,1972,11,70s,Japan Airlines Flight,NA,NA,ICL,USSR,SVO,NA,Douglas
414,Sud,Aviation,61,56,5,0,1970-04-01,61,1970,4,60s,Royal Air Maroc,NA,NA,APR,Morocco,CMN,5.5,Aviation
415,Vickers,Viscount,61,57,4,0,1968-03-24,61,1968,3,60s,Aer Lingus Flight,NA,NA,ENR,Ireland,,NA,Viscount
416,Douglas,DC,61,47,14,0,1961-05-30,61,1961,5,60s,Viasa Flight,NA,NA,ENR,Portugal,,NA,DC
417,Douglas,R6D,61,50,11,0,1960-02-25,61,1960,2,50s,US Navy,Real Transportes Aéreos,NA,APR,Brazil,GIG,5,R6D
418,Douglas,DC,61,52,9,0,1958-05-18,61,1958,5,50s,Sabena,NA,NA,APR,Morocco,CAS,0.6,DC
419,Douglas,DC,61,55,6,0,1957-12-08,61,1957,12,50s,Aerolíneas Argentinas Flight,NA,NA,ENR,Argentina,,NA,DC
420,Consolidated,B,61,0,3,58,1944-08-23,3,1944,8,40s,US Army Air Force,NA,NA,APR,UK,EGNO,NA,B
421,Consolidated,B,61,0,11,50,1943-09-07,11,1943,9,40s,US Air Force,NA,NA,UNK,Papua New Guinea,,NA,B
422,Antonov,An,60,54,6,0,2005-07-16,60,2005,7,2000-2010,Equatorial Express Airlines,NA,NA,ENR,Equatorial Guinea,,NA,An
423,Boeing,737,60,49,6,5,2000-07-17,55,2000,7,90s,Alliance Air Flight,NA,NA,APR,India,PAT,2,737
424,Airbus,A310,60,50,10,0,1995-03-31,60,1995,3,90s,TAROM Flight,NA,NA,ENR,Romania,,NA,A310
425,Mil,Mi,NA,NA,NA,0,1993-10-04,NA,1993,10,90s,Georgian Air Force,NA,NA,UNK,Georgia,,NA,Mi
426,Fokker,F27,60,57,3,0,1986-08-16,60,1986,8,80s,Sudan Airways,NA,NA,ENR,South Sudan,,NA,F27
427,Boeing,737,60,60,0,0,1985-11-24,60,1985,11,80s,EgyptAir Flight,NA,NA,STD,Malta,MLA,NA,737
428,Tupolev,Tu,60,50,10,0,1975-09-30,60,1975,9,70s,Malév Flight,NA,NA,APR,Lebanon,BEY,10,Tu
429,Vickers,Viscount,60,55,5,0,1972-10-27,60,1972,10,70s,Air Inter Flight,NA,NA,ENR,France,,NA,Viscount
430,de,Havilland,59,53,6,0,1989-06-21,59,1989,6,80s,Fuerza Aérea del Peru,NA,NA,ENR,Peru,,NA,Havilland
431,Vickers,Viscount,59,54,5,0,1979-02-12,59,1979,2,70s,Air Rhodesia Flight,NA,NA,ENR,Zimbabwe,,NA,Viscount
432,Tupolev,Tu,59,59,0,0,1977-12-02,59,1977,12,70s,Libyan Arab Airlines,NA,NA,ENR/LDG,Libya,,NA,Tu
433,Vickers,Viscount,59,55,4,0,1976-08-15,59,1976,8,70s,SAETA Flight,NA,NA,ENR,Ecuador,,NA,Viscount
434,Boeing,747,59,55,4,0,1974-11-20,59,1974,11,70s,Lufthansa Flight,NA,NA,TOF,Kenya,NBO,1.1,747
435,Curtiss,C,59,12,3,44,1967-04-08,15,1967,4,60s,Korean Air Force,NA,NA,ENR,South Korea,,NA,C
436,Lockheed,KC,59,57,2,0,1965-08-24,59,1965,8,60s,US Marine Corps,NA,NA,TOF,China,HKG,NA,KC
437,Ilyushin,Il,59,50,9,0,1961-12-17,59,1961,12,60s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Il
438,Douglas,DC,59,55,4,0,1960-02-05,59,1960,2,50s,Lloyd Aéreo Boliviano,NA,NA,ENR,Bolivia,,NA,DC
439,Douglas,R6D,59,50,9,0,1956-10-10,59,1956,10,50s,US Navy,NA,NA,ENR,Atlantic Ocean,,NA,R6D
440,Curtiss,C,59,55,4,0,1945-10-12,59,1945,10,40s,US Army Air Force,NA,NA,APR,China,NAY,25,C
441,Antonov,An,58,52,6,0,1992-07-14,58,1992,7,90s,Yemen Air Force,NA,NA,ENR,Yemen,,NA,An
442,Tupolev,Tu,58,55,3,0,1985-02-01,58,1985,2,80s,Aeroflot Flight,NA,NA,ICL,USSR,MSQ,10,Tu
443,Tupolev,Tu,58,57,1,0,1979-03-17,58,1979,3,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
444,Douglas,C,58,53,5,0,1973-03-19,58,1973,3,70s,Air Vietnam,NA,NA,APR,Vietnam,BMV,6.5,C
445,Douglas,C,58,55,2,1,1968-09-28,57,1968,9,60s,Pan African Airlines,NA,NA,APR,Nigeria,PHC,1.5,C
446,Boeing,727,58,53,5,0,1965-11-08,58,1965,11,60s,American Airlines Flight,NA,NA,APR,US,CVG,3,727
447,Douglas,DC,58,51,7,0,1964-02-25,58,1964,2,60s,Eastern Air Lines Flight,NA,NA,ENR,US,,NA,DC
448,Lockheed,1049E,58,49,9,0,1957-07-16,58,1957,7,50s,KLM Flight,NA,NA,ENR,Indonesia,,NA,1049E
449,Lockheed,L,58,51,7,0,1955-07-27,58,1955,7,50s,El Al Israel Airlines Flight,NA,NA,ENR,Bulgaria,,NA,L
450,Douglas,DC,58,50,8,0,1953-07-12,58,1953,7,50s,Transocean Air Lines Flight,NA,NA,ENR,Pacific Ocean,,NA,DC
451,Douglas,C,58,51,7,0,1950-11-13,58,1950,11,40s,Curtiss Reid Flying Services,NA,NA,ENR,France,,NA,C
452,Douglas,DC,58,55,3,0,1950-06-23,58,1950,6,40s,Northwest Orient Airlines Flight,NA,NA,ENR,US,,NA,DC
453,Fokker,Super,58,0,5,53,1938-08-24,5,1938,8,30s,Japan mid-air collision,NA,NA,ENR,Japan,,NA,Super
454,McDonnell,Douglas,57,50,7,0,2007-11-30,57,2007,11,2000-2010,Atlasjet Flight,NA,NA,APR,Turkey,ISE,12,Douglas
455,Antonov,An,57,52,5,0,2000-11-15,57,2000,11,90s,ASA Pesada,NA,NA,ENR,Angola,,NA,An
456,Boeing,737,57,52,5,0,1994-12-29,57,1994,12,90s,Turkish Airlines Flight,NA,NA,APR,Turkey,VAN,4,737
457,Ilyushin,Il,57,50,7,0,1989-10-18,57,1989,10,80s,Soviet Air Force,NA,NA,ENR,USSR,,NA,Il
458,Vickers,Viscount,57,52,5,0,1979-04-23,57,1979,4,70s,SAETA,NA,NA,ENR,Ecuador,,NA,Viscount
459,Antonov,An,57,53,4,0,1971-12-01,57,1971,12,70s,Aeroflot Flight,NA,NA,APR,USSR,RTW,13,An
460,Curtiss,C,57,52,5,0,1964-06-20,57,1964,6,60s,Civil Air Transport,NA,NA,ICL,Taiwan,RMQ,NA,C
461,Boeing,737,55,53,2,0,1993-04-26,55,1993,4,90s,Indian Airlines Flight,NA,NA,TOF,India,IXU,1.9,737
462,McDonnell,Douglas,56,54,2,0,1992-12-21,56,1992,12,90s,Martinair Flight,NA,NA,LDG,Portugal,FAO,NA,Douglas
463,Antonov,An,56,54,2,0,1973-08-18,56,1973,8,70s,Aeroflot Flight A-,NA,NA,ENR,Azerbaijan,,NA,An
464,Douglas,DC,56,50,1,5,1967-03-05,51,1967,3,60s,Varig Flight,NA,NA,APR,Liberia,ROB,1.9,DC
465,Douglas,C,56,52,4,0,1966-01-15,56,1966,1,60s,Avianca Flight,NA,NA,ICL,Colombia,CTG,1.3,C
466,Curtiss,C,56,52,4,0,1951-12-16,56,1951,12,50s,Miami Airlines,NA,NA,ENR,US,,NA,C
467,Bombardier,CRJ,55,47,6,2,2004-11-21,53,2004,11,2000-2010,China Eastern Airlines Flight,NA,NA,ICL,China,BAV,2,CRJ
468,Antonov,An,55,48,7,0,1998-09-29,55,1998,9,90s,Lionair Flight,NA,NA,ENR,Sri Lanka,,NA,An
469,British,Aerospace,55,54,1,0,1993-07-23,55,1993,7,90s,China Northwest Airlines Flight,NA,NA,TOF,China,INC,NA,Aerospace
470,Convair,CV,55,50,5,0,1989-09-08,55,1989,9,80s,Partnair Flight,NA,NA,ENR,Denmark,,NA,CV
471,Boeing,737,55,53,2,0,1985-08-22,55,1985,8,80s,British Airtours Flight,NA,NA,TOF,UK,MAN,NA,737
472,Boeing,727,55,47,8,0,1980-04-12,55,1980,4,70s,Transbrasil Flight,NA,NA,APR,Brazil,FLN,24,727
473,Antonov,An,55,51,4,0,1969-08-03,55,1969,8,60s,Aeroflot Flight H-,NA,NA,ENR,USSR,,NA,An
474,Douglas,DC,55,48,7,0,1963-05-03,55,1963,5,60s,Air Afrique,NA,NA,ENR,Cameroon,,NA,DC
475,Lockheed,L,55,48,7,0,1950-08-31,55,1950,8,40s,TWA Flight,NA,NA,ENR,Egypt,,NA,L
476,Douglas,DC,55,51,4,0,1949-11-01,55,1949,11,40s,Eastern Air Lines Flight,Bolivian Air Force,NA,APR,US,DCA,0.8,DC
477,ATR,42,54,49,5,0,2015-08-16,54,2015,8,2010-2020,Trigana Air Flight,NA,NA,ENR,Indonesia,,NA,42
478,Boeing,737,54,47,7,0,1989-10-26,54,1989,10,80s,China Airlines Flight,NA,NA,ENR,Taiwan,,NA,737
479,Fokker,F27,54,49,5,0,1989-08-25,54,1989,8,80s,Pakistan International Airlines Flight,NA,NA,ENR,Pakistan,,NA,F27
480,Antonov,An,NA,NA,NA,0,1987-01-13,NA,1987,1,80s,Ethiopian Air Force,NA,NA,UNK,Eritrea,,NA,An
481,Tupolev,Tu,54,52,2,0,1986-07-02,54,1986,7,80s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
482,Sikorsky,CH,54,44,10,0,1977-05-10,54,1977,5,70s,Israeli Air Force,NA,NA,UNK,Israel,,NA,CH
483,Handley,Page,54,50,4,0,1965-04-10,54,1965,4,60s,Alia Royal Jordanian Airlines Herald,NA,NA,ENR,Syria,,NA,Page
484,Convair,CV,54,49,5,0,1960-06-24,54,1960,6,50s,REAL Transportes Aéreos,NA,NA,APR,Brazil,GIG,NA,CV
485,Douglas,DC,54,45,9,0,1959-09-24,54,1959,9,50s,TAI,NA,NA,ICL,France,BOD,1,DC
486,Boeing,727,53,43,10,0,1998-04-20,53,1998,4,90s,Air France Flight,NA,NA,ENR,Colombia,,NA,727
487,Antonov,An,53,47,6,0,1996-05-03,53,1996,5,90s,Federal Airlines,NA,NA,LDG,Sudan,[nb 33],NA,An
488,Fokker,F,53,48,5,0,1995-11-08,53,1995,11,90s,Lineas Aéreas del Estado,NA,NA,ENR,Argentina,,NA,F
489,Antonov,An,NA,NA,NA,0,1987-06-11,NA,1987,6,80s,Bakhtar Alwatana,NA,NA,ENR,Afghanistan,,NA,An
490,Douglas,DC,53,0,4,49,1984-09-18,4,1984,9,80s,Aeroservicios Ecuatorianos Flight,NA,NA,TOF,Ecuador,UIO,NA,DC
491,Fokker,F28,53,51,2,0,1983-11-28,53,1983,11,80s,Nigeria Airways,NA,NA,APR,Nigeria,ENU,3.3,F28
492,Fairchild,C,53,49,4,0,1982-06-01,53,1982,6,80s,Korean Air Force,NA,NA,TOF,South Korea,SSN,NA,C
493,Fairchild,C,53,47,6,0,1982-02-06,53,1982,2,80s,Korean Air Force,NA,NA,ENR,South Korea,,NA,C
494,Antonov,An,53,48,5,0,1969-04-02,53,1969,4,60s,LOT Polish Airlines Flight,NA,NA,ENR,Poland,,NA,An
495,Douglas,C,53,44,9,0,1951-03-23,53,1951,3,50s,US Air Force,NA,NA,ENR,Atlantic Ocean,,NA,C
496,Curtiss,C,53,52,1,0,1949-06-07,53,1949,6,40s,Strato-Freight,NA,NA,ICL,US,SIG,10,C
497,Douglas,DC,53,49,4,0,1947-05-30,53,1947,5,40s,Eastern Air Lines Flight,NA,NA,ENR,US,,NA,DC
498,Douglas,DC,53,49,4,0,1947-02-15,53,1947,2,40s,Avianca,NA,NA,ENR,Colombia,,NA,DC
499,Curtiss,Hawk,53,0,1,52,1938-07-24,1,1938,7,30s,Santa Ana air show disaster,NA,NA,ENR,Colombia,,NA,Hawk
500,Tupolev,Tu,52,50,2,0,1995-12-05,52,1995,12,90s,Azerbaijan Airlines Flight,NA,NA,ICL,Azerbaijan,NAJ,3.8,Tu
501,British,Aerospace,52,49,3,0,1995-04-29,52,1995,4,90s,Sri Lanka Air Force,NA,NA,APR,Sri Lanka,JAF,NA,Aerospace
502,de,Havilland,52,42,4,6,1992-04-16,46,1992,4,90s,Kenya Air Force,NA,NA,APR,Kenya,HKRE,1.7,Havilland
503,Antonov,An,52,47,5,0,1985-09-04,52,1985,9,80s,Bakhtar Afghan Airlines,NA,NA,ENR,Afghanistan,,NA,An
504,Antonov,An,52,46,6,0,1976-05-15,52,1976,5,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,An
505,Fokker,F,52,47,5,0,1975-03-16,52,1975,3,70s,Lineas Aéreas del Estado,NA,NA,APR,Argentina,BRC,35,F
506,Antonov,An,52,48,4,0,1971-11-12,52,1971,11,70s,Aeroflot Flight H-,NA,NA,APR,USSR,VIN,NA,An
507,Douglas,DC,52,46,6,0,1965-07-08,52,1965,7,60s,Canadian Pacific Air Lines Flight,NA,NA,ENR,Canada,,NA,DC
508,de,Havilland,52,40,12,0,1961-11-23,52,1961,11,60s,Aerolíneas Argentinas Flight,NA,NA,ICL,Brazil,VCP,2,Havilland
509,Ilyushin,Il,52,44,8,0,1961-03-28,52,1961,3,60s,ČSA Flight,NA,NA,ENR,West Germany,,NA,Il
510,Convair,C,52,13,7,32,1960-12-17,20,1960,12,50s,US Air Force,NA,NA,ENR,West Germany,,NA,C
511,Douglas,DC,52,49,3,0,1956-02-20,52,1956,2,50s,Transports Aériens Intercontinentaux,NA,NA,APR,Egypt,CAI,29,DC
512,Douglas,C,52,41,11,0,1952-11-22,52,1952,11,50s,US Air Force,NA,NA,ENR,US,,NA,C
513,Douglas,DC,52,52,0,0,1952-04-11,52,1952,4,50s,Pan Am Flight,NA,NA,ENR,US,,NA,DC
514,Latécoère,631,52,40,12,0,1948-08-01,52,1948,8,40s,Air France,NA,NA,ENR,Atlantic Ocean,,NA,631
515,Douglas,DC,52,47,5,0,1947-10-24,52,1947,10,40s,United Airlines Flight,NA,NA,ENR,US,,NA,DC
516,Zeppelin,type,52,10,42,0,1923-12-21,52,1923,12,20s,French airship Dixmude,NA,NA,,Italy,,NA,type
517,Bombardier,Dash,51,47,4,0,2018-03-12,51,2018,3,2010-2020,US-Bangla Airlines Flight,NA,NA,LDG,Nepal,KTM,NA,Dash
518,Antonov,An,51,17,4,30,2007-10-04,21,2007,10,2000-2010,Malift Air,NA,NA,TOF,Congo,FIH,2,An
519,Antonov,An,51,45,6,0,1998-01-13,51,1998,1,90s,Afghanistan Air Force,NA,NA,APR,Pakistan,UET,110,An
520,Douglas,DC,51,46,5,0,1995-01-11,51,1995,1,90s,Intercontinental de Aviación Flight,NA,NA,APR,Colombia,CTG,56,DC
521,Yakovlev,Yak,51,47,4,0,1991-11-07,51,1991,11,90s,Aeroflot Flight C-,NA,NA,APR,USSR,MCX,23,Yak
522,Antonov,An,51,45,6,0,1985-02-22,51,1985,2,80s,Air Mali,NA,NA,ICL,Mali,TOM,3,An
523,Tupolev,Tu,51,45,6,0,1981-02-07,51,1981,2,80s,Soviet Navy,NA,NA,ENR,USSR,,NA,Tu
524,Tupolev,Tu,51,45,6,0,1973-12-16,51,1973,12,70s,Aeroflot Flight,NA,NA,ENR,USSR,,NA,Tu
525,Boeing,707,51,42,9,0,1968-12-12,51,1968,12,60s,Pan Am Flight,NA,NA,APR,Venezuela,CCS,NA,707
526,Curtiss,C,51,46,5,0,1959-01-16,51,1959,1,50s,Austral Líneas Aéreas Flight,NA,NA,APR,Argentina,MDQ,1.2,C
527,Lockheed,Constellation,51,44,7,0,1950-07-28,51,1950,7,40s,Panair do Brasil Flight,NA,NA,ENR,Brazil,,NA,Constellation
528,Boeing,737,50,44,6,0,2013-11-17,50,2013,11,2010-2020,Tatarstan Airlines Flight,NA,NA,LDG,Russia,KZN,NA,737
529,Bombardier,DHC8,50,45,4,1,2009-02-12,49,2009,2,2000-2010,Colgan Air Flight,NA,NA,APR,US,BUF,10,DHC8
530,Antonov,An,NA,NA,NA,0,1999-06-03,NA,1999,6,90s,Sudanese Air Force,NA,NA,ENR,Sudan,,NA,An
531,Antonov,An,50,44,6,0,1997-03-18,50,1997,3,90s,Stavropolskaya Aktsionernaya Avia Flight,NA,NA,ENR,Russia,,NA,An
532,Hawker,Siddeley,50,46,4,0,1987-06-26,50,1987,6,80s,Philippine Airlines Flight,NA,NA,APR,Philippines,BAG,19,Siddeley
533,Boeing,707,50,38,12,0,1987-01-03,50,1987,1,80s,Varig Flight,NA,NA,APR,Côte dIvoire,ABJ,18,707
534,Tupolev,Tu,50,45,5,0,1984-01-10,50,1984,1,80s,Balkan Bulgarian Airlines,NA,NA,APR,Bulgaria,SOF,4,Tu
535,McDonnell,Douglas,50,47,3,0,1982-09-13,50,1982,9,80s,Spantax Flight,NA,NA,TOF,Spain,AGP,0.45,Douglas
536,Vickers,Viscount,50,44,6,0,1981-08-26,50,1981,8,80s,Aeropesca Colombia Flight,NA,NA,ENR,Colombia,,NA,Viscount
537,Fokker,F27,50,44,6,0,1981-07-20,50,1981,7,80s,Somali Airlines Flight,NA,NA,ENR,Somalia,,NA,F27
538,NAMC,YS,50,46,4,0,1976-11-23,50,1976,11,70s,Olympic Airways Flight,NA,NA,APR,Greece,KZI,19,YS
539,Lockheed,C,50,44,6,0,1971-11-09,50,1971,11,70s,Royal Air Force,NA,NA,ENR,Italy,,NA,C
540,McDonnell,Douglas,50,44,6,0,1971-06-06,50,1971,6,70s,Hughes Airwest Flight,US Marine Corps,NA,ENR,US,,NA,Douglas
541,Boeing,727,50,43,5,2,1969-01-05,48,1969,1,60s,Ariana Afghan Airlines Flight,NA,NA,APR,UK,LGW,2.5,727
542,NAMC,YS,50,45,5,0,1966-11-13,50,1966,11,60s,All Nippon Airways Flight,NA,NA,APR,Japan,MYJ,1,YS
543,Convair,CV,50,45,5,0,1965-03-31,50,1965,3,60s,Iberia,NA,NA,APR,Morocco,TNG,18,CV
544,Boeing,707,50,45,5,0,1964-11-23,50,1964,11,60s,TWA Flight,NA,NA,TOF,Italy,FCO,NA,707
545,Lockheed,L,50,43,7,0,1962-12-14,50,1962,12,60s,Panair do Brasil,NA,NA,ENR,Brazil,,NA,L
546,Vickers,Viscount,50,46,4,0,1960-01-18,50,1960,1,50s,Capital Airlines Flight,NA,NA,ENR,US,,NA,Viscount
547,Avro,York,50,45,5,0,1956-02-18,50,1956,2,50s,Scottish Airlines,NA,NA,ENR,Malta,,NA,York
548,Boeing,377,50,41,9,0,1952-04-29,50,1952,4,50s,Pan Am Flight,NA,NA,ENR,Brazil,,NA,377
549,Douglas,DC,50,44,6,0,1951-08-24,50,1951,8,50s,United Airlines Flight,NA,NA,APR,US,OAK,22,DC
550,Douglas,DC,50,45,5,0,1951-06-30,50,1951,6,50s,United Airlines Flight,NA,NA,ENR,US,,NA,DC
551,Douglas,C,50,47,3,0,1947-06-13,50,1947,6,40s,Pennsylvania Central Airlines Flight,NA,NA,ENR,US,,NA,C
